agents,utilities
"('MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-MAST')","0.7333333333333334;-0.8666666666666667;0.33333333333333337;1.0;-0.06666666666666665;-0.33333333333333326;-0.6000000000000001;0.06666666666666665;-0.19999999999999996;-0.46666666666666656;0.6;0.19999999999999996;0.8666666666666667;0.4666666666666667;-0.7333333333333334;-1.0"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200')","-0.8666666666666667;0.06666666666666665;-0.46666666666666656;0.4666666666666667;-0.6000000000000001;-0.06666666666666665;0.8666666666666667;-0.33333333333333326;0.7333333333333334;0.33333333333333337;-0.7333333333333334;-1.0;0.6;-0.19999999999999996;1.0;0.19999999999999996"
"('MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST')","0.6;-1.0;-0.6000000000000001;-0.7333333333333334;-0.8666666666666667;0.8666666666666667;-0.06666666666666665;-0.19999999999999996;0.33333333333333337;-0.46666666666666656;0.19999999999999996;0.4666666666666667;0.06666666666666665;-0.33333333333333326;1.0;0.7333333333333334"
"('MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200')","0.06666666666666665;0.19999999999999996;-0.06666666666666665;-0.19999999999999996;0.33333333333333337;0.4666666666666667;-0.46666666666666656;0.6;-0.33333333333333326;0.7333333333333334;-0.7333333333333334;-0.8666666666666667;-1.0;0.8666666666666667;1.0;-0.6000000000000001"
"('MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200')","-0.06666666666666665;0.06666666666666665;0.4666666666666667;-0.19999999999999996;0.6;-0.8666666666666667;-0.46666666666666656;0.19999999999999996;1.0;-1.0;0.8666666666666667;-0.33333333333333326;-0.7333333333333334;0.33333333333333337;-0.6000000000000001;0.7333333333333334"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1Tuned-0.1-Random4')","-0.19999999999999996;0.8666666666666667;0.6;-0.06666666666666665;-0.6000000000000001;-0.33333333333333326;-1.0;-0.46666666666666656;-0.8666666666666667;0.4666666666666667;0.19999999999999996;-0.7333333333333334;0.7333333333333334;0.33333333333333337;0.06666666666666665;1.0"
"('MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-1.41421356237-Random0')","1.0;-0.7333333333333334;0.06666666666666665;-0.19999999999999996;0.19999999999999996;-0.6000000000000001;0.4666666666666667;-0.9333333333333333;-0.46666666666666656;0.33333333333333337;0.6;-0.06666666666666665;-0.33333333333333326;0.8666666666666667;0.7333333333333334;-0.9333333333333333"
"('MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-0.46666666666666656;-0.6000000000000001;-0.8666666666666667;0.33333333333333337;-0.33333333333333326;0.19999999999999996;0.06666666666666665;0.6;-1.0;-0.19999999999999996;0.4666666666666667;0.7333333333333334;-0.06666666666666665;-0.7333333333333334;0.8666666666666667;1.0"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST')","-0.33333333333333326;-0.7333333333333334;0.6;-0.19999999999999996;-0.6000000000000001;1.0;-0.8666666666666667;-0.06666666666666665;0.33333333333333337;0.8666666666666667;0.06666666666666665;0.19999999999999996;-0.46666666666666656;-1.0;0.7333333333333334;0.4666666666666667"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST')","0.06666666666666665;-0.19999999999999996;-0.06666666666666665;-0.33333333333333326;0.8666666666666667;0.19999999999999996;0.6;0.7333333333333334;-1.0;-0.7333333333333334;1.0;-0.8666666666666667;-0.6000000000000001;0.4666666666666667;0.33333333333333337;-0.46666666666666656"
"('MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","-0.8666666666666667;0.7333333333333334;0.06666666666666665;-0.33333333333333326;-0.19999999999999996;0.4666666666666667;0.19999999999999996;0.33333333333333337;-0.06666666666666665;0.8666666666666667;1.0;0.6;-0.46666666666666656;-1.0;-0.7333333333333334;-0.6000000000000001"
"('MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","0.19999999999999996;-0.8666666666666667;-0.46666666666666656;-0.06666666666666665;-0.19999999999999996;0.7333333333333334;0.4666666666666667;0.6;-0.6000000000000001;-0.33333333333333326;-1.0;0.06666666666666665;0.33333333333333337;0.8666666666666667;-0.7333333333333334;1.0"
"('MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","-0.6000000000000001;-0.8666666666666667;-0.8666666666666667;0.6;-0.8666666666666667;-0.19999999999999996;0.06666666666666665;0.19999999999999996;-0.06666666666666665;0.33333333333333337;1.0;-0.33333333333333326;0.4666666666666667;0.8666666666666667;-0.46666666666666656;0.7333333333333334"
"('MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","0.8666666666666667;-0.8666666666666667;0.06666666666666665;-0.6000000000000001;-1.0;-0.33333333333333326;-0.19999999999999996;-0.06666666666666665;-0.46666666666666656;0.4666666666666667;0.7333333333333334;-0.7333333333333334;0.33333333333333337;1.0;0.6;0.19999999999999996"
"('MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1-0.1-Random4')","-1.0;-0.33333333333333326;0.8666666666666667;-0.06666666666666665;-0.6000000000000001;-0.7333333333333334;0.33333333333333337;0.6;-0.19999999999999996;-0.46666666666666656;0.7333333333333334;1.0;0.19999999999999996;-0.8666666666666667;0.06666666666666665;0.4666666666666667"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.8666666666666667;-0.8666666666666667;0.33333333333333337;-0.46666666666666656;-0.19999999999999996;0.19999999999999996;-0.6000000000000001;1.0;0.06666666666666665;0.7333333333333334;0.4666666666666667;-0.7333333333333334;-0.33333333333333326;-0.06666666666666665;-1.0;0.6"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-0.6-NST')","-0.19999999999999996;0.06666666666666665;0.4666666666666667;0.6;0.8666666666666667;-0.33333333333333326;-0.7333333333333334;1.0;-0.8666666666666667;-0.6000000000000001;-1.0;0.7333333333333334;0.19999999999999996;-0.06666666666666665;0.33333333333333337;-0.46666666666666656"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-MAST')","-0.06666666666666665;-0.33333333333333326;-0.6000000000000001;-0.19999999999999996;0.8666666666666667;1.0;-0.7333333333333334;0.19999999999999996;0.06666666666666665;0.6;0.7333333333333334;0.4666666666666667;-0.46666666666666656;-0.8666666666666667;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-MAST')","0.33333333333333337;0.8666666666666667;0.6;-0.06666666666666665;-0.8666666666666667;1.0;0.7333333333333334;-1.0;-0.6000000000000001;-0.19999999999999996;0.4666666666666667;-0.46666666666666656;0.06666666666666665;-0.33333333333333326;0.19999999999999996;-0.7333333333333334"
"('MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-0.6000000000000001;-0.7333333333333334;0.4666666666666667;0.6;0.7333333333333334;-1.0;0.33333333333333337;-0.46666666666666656;1.0;-0.8666666666666667;0.19999999999999996;-0.33333333333333326;0.06666666666666665;0.8666666666666667;-0.06666666666666665;-0.19999999999999996"
"('MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-0.8666666666666667;0.7333333333333334;-0.33333333333333326;0.4666666666666667;0.19999999999999996;1.0;-0.46666666666666656;-0.7333333333333334;-0.19999999999999996;-0.06666666666666665;-0.6000000000000001;0.8666666666666667;0.33333333333333337;0.06666666666666665;-1.0;0.6"
"('MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.8666666666666667;-0.8666666666666667;-0.06666666666666665;1.0;-0.7333333333333334;0.06666666666666665;-0.46666666666666656;0.7333333333333334;0.4666666666666667;0.33333333333333337;0.19999999999999996;0.6;-0.6000000000000001;-1.0;-0.19999999999999996;-0.33333333333333326"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","0.6;-0.8666666666666667;-0.06666666666666665;0.4666666666666667;1.0;-0.7333333333333334;0.06666666666666665;-1.0;-0.6000000000000001;-0.46666666666666656;-0.33333333333333326;0.8666666666666667;0.7333333333333334;0.33333333333333337;-0.19999999999999996;0.19999999999999996"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200')","-0.8666666666666667;-0.06666666666666665;0.19999999999999996;0.4666666666666667;0.7333333333333334;-0.7333333333333334;-0.46666666666666656;0.8666666666666667;-0.6000000000000001;-1.0;0.33333333333333337;-0.33333333333333326;1.0;-0.19999999999999996;0.6;0.06666666666666665"
"('MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0')","-0.6000000000000001;0.4666666666666667;-1.0;0.6;-0.19999999999999996;-0.8666666666666667;0.33333333333333337;0.7333333333333334;-0.06666666666666665;-0.33333333333333326;-0.7333333333333334;0.8666666666666667;0.06666666666666665;-0.46666666666666656;1.0;0.19999999999999996"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-MAST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0')","1.0;-0.7333333333333334;0.4666666666666667;-0.46666666666666656;0.8666666666666667;0.19999999999999996;-0.9333333333333333;-0.06666666666666665;0.06666666666666665;-0.6000000000000001;-0.9333333333333333;0.33333333333333337;-0.19999999999999996;0.6;0.7333333333333334;-0.33333333333333326"
